GDP,lex,surface_area_sq_km,pop,Region_Color
36400,78.7,45300,1,0x0000ff
2470,69.7,1140000,1,0xffff00
48500,82.5,338000,1,0x0000ff
13300,68.9,18300,1,0x00ff00
46100,83.5,549000,1,0x0000ff
3260,64.3,700,1,0x00ff00
14000,67.4,268000,1,0xffff00
46000,81.7,244000,1,0x0000ff
18200,72.4,69700,1,0x0000ff
5590,66.1,239000,1,0xffff00
2820,61.1,246000,1,0xffff00
2180,67.1,11300,1,0xffff00
1910,60.6,36100,1,0xffff00
13600,66.3,28100,1,0xffff00
32500,81.7,132000,1,0x0000ff
15200,73.9,340,1,0xff0000
9350,69.6,109000,1,0xff0000
47100,68,215000,1,0xff0000
5830,72.7,112000,1,0xff0000
35300,79.3,88100,1,0x0000ff
2710,64.3,27800,1,0xff0000
35300,77.3,93000,1,0x0000ff
12900,72,1920000,1,0x00ff00
7570,71.9,3290000,1,0x00ff00
104000,82.6,70300,1,0x0000ff
16100,78.6,1750000,1,0x00ff00
8780,73.8,435000,1,0x00ff00
56800,84.6,103000,1,0x0000ff
44400,83.6,22100,1,0x00ff00
44400,83.8,302000,1,0x0000ff
10300,76.9,11000,1,0xff0000
9510,77.2,89300,1,0x00ff00
42600,85.3,378000,1,0x00ff00
27300,70.7,2720000,1,0x00ff00
5050,66.9,580000,1,0xffff00
5440,73.3,200000,1,0x00ff00
4730,70.7,181000,1,0x00ff00
2100,61.4,810,1,0x00ff00
30200,72.7,260,1,0xff0000
46100,83.4,100000,1,0x00ff00
46700,82.3,17800,1,0x00ff00
8130,70.1,237000,1,0x00ff00
13500,73.6,10400,1,0x00ff00
1500,67.1,111000,1,0xffff00
19800,76.8,1760000,1,0xffff00
15800,75.8,620,1,0xff0000
12100,78.1,65600,1,0x00ff00
2290,52.5,30400,1,0xffff00
39100,76.9,65300,1,0x0000ff
111000,83.5,2590,1,0x0000ff
33000,76.4,64600,1,0x0000ff
8250,74.3,447000,1,0xffff00
218000,80.5,90.1,1,0x0000ff
13600,72.8,33900,1,0x0000ff
1530,66,587000,1,0xffff00
22200,80,300,1,0x00ff00
20200,76.5,1960000,1,0xff0000
6120,66,180,1,0x00ff00
17500,72.4,25700,1,0x0000ff
2170,62.2,1240000,1,0xffff00
48800,83.2,320,1,0x0000ff
4180,70.3,677000,1,0x00ff00
23500,76.6,13800,1,0x0000ff
12700,69.1,1560000,1,0x00ff00
1270,59.5,799000,1,0xffff00
5540,70.5,1030000,1,0xffff00
24400,76,2010,1,0xffff00
1450,64.3,118000,1,0xffff00
29000,75.7,330000,1,0x00ff00
9820,61.6,824000,1,0xffff00
1260,62.5,1270000,1,0xffff00
4990,65.5,924000,1,0xffff00
6000,76.1,130000,1,0xff0000
58000,82.3,41500,1,0x0000ff
66900,83.5,625000,1,0x0000ff
4030,72.3,147000,1,0x00ff00
11100,64.1,20,1,0x00ff00
44600,82.4,268000,1,0x00ff00
35300,74.9,310000,1,0x00ff00
5270,66.4,796000,1,0x00ff00
35200,80.8,75300,1,0xff0000
12600,81.1,1290000,1,0xff0000
8920,72.3,300000,1,0x00ff00
13800,68.3,460,1,0x00ff00
3820,65.3,463000,1,0x00ff00
38000,78.8,313000,1,0x0000ff
1800,73.7,121000,1,0x00ff00
36200,82.4,92200,1,0x0000ff
14000,77.1,407000,1,0xff0000
5290,73.8,6030,1,0x00ff00
88800,77,11500,1,0x00ff00
33100,74.2,238000,1,0x0000ff
28800,73.6,17100000,1,0x0000ff
2500,69.6,26300,1,0xffff00
48400,75.3,2150000,1,0x00ff00
3060,70.7,1880000,1,0xffff00
3590,69.3,197000,1,0xffff00
104000,85.4,728,1,0x00ff00
2420,59.6,28900,1,0x00ff00
1660,62.3,72300,1,0xffff00
9700,76.6,21000,1,0xff0000
68800,82.8,60,1,0x0000ff
1130,58.8,638000,1,0xffff00
21500,74.2,85000,1,0x0000ff
354,64.4,647000,1,0xffff00
3880,71.3,960,1,0xffff00
15200,73.3,164000,1,0xff0000
33800,78.2,49000,1,0x0000ff
41400,82.1,20500,1,0x0000ff
54500,83.4,529000,1,0x0000ff
9190,55.5,17400,1,0xffff00
27200,74.4,460,1,0xffff00
3170,74.5,185000,1,0x00ff00
1430,60.9,1280000,1,0xffff00
2300,66,56800,1,0xffff00
17800,79.3,513000,1,0x00ff00
4400,70.1,141000,1,0x00ff00
15600,71.4,488000,1,0x00ff00
3320,71.7,14900,1,0x00ff00
5800,73.5,750,1,0x00ff00
23700,75.5,5130,1,0xff0000
10500,78.7,164000,1,0xffff00
34200,79.3,785000,1,0x0000ff
4730,68.8,30,1,0x00ff00
2680,67.8,947000,1,0xffff00
2330,67.1,242000,1,0xffff00
11700,72.3,604000,1,0x0000ff
24500,78.2,176000,1,0xff0000
65900,79.5,9830000,1,0xff0000
8380,68.9,449000,1,0x00ff00
15800,70.4,390,1,0xff0000
6500,75.8,912000,1,0xff0000
11900,75.1,331000,1,0x00ff00
2780,66.2,12200,1,0x00ff00
5490,71.1,2840,1,0x00ff00
1650,67.2,528000,1,0x00ff00
13400,61.9,1220000,1,0xffff00
3410,63.4,753000,1,0xffff00
2270,61.7,391000,1,0xffff00
