GDP,lex,surface_area_sq_km,pop,Region_Color
1130,58.8,638000,18400000,0xffff00
21500,74.2,85000,6770000,0x0000ff
354,64.4,647000,11500000,0xffff00
3880,71.3,960,231000,0xffff00
15200,73.3,164000,629000,0xff0000
33800,78.2,49000,5520000,0x0000ff
41400,82.1,20500,2120000,0x0000ff
54500,83.4,529000,10600000,0x0000ff
9190,55.5,17400,1230000,0xffff00
27200,74.4,460,128000,0xffff00
3170,74.5,185000,23600000,0x00ff00
1430,60.9,1280000,19300000,0xffff00
2300,66,56800,9300000,0xffff00
17800,79.3,513000,71700000,0x00ff00
4400,70.1,141000,10400000,0x00ff00
15600,71.4,488000,7360000,0x00ff00
3320,71.7,14900,1380000,0x00ff00
5800,73.5,750,105000,0x00ff00
23700,75.5,5130,1500000,0xff0000
10500,78.7,164000,12200000,0xffff00
34200,79.3,785000,87300000,0x0000ff
4730,68.8,30,9820,0x00ff00
2680,67.8,947000,66600000,0xffff00
2330,67.1,242000,48700000,0xffff00
11700,72.3,604000,37700000,0x0000ff
24500,78.2,176000,3390000,0xff0000
65900,79.5,9830000,343000000,0xff0000
8380,68.9,449000,35700000,0x00ff00
15800,70.4,390,101000,0xff0000
6500,75.8,912000,28300000,0xff0000
11900,75.1,331000,100000000,0x00ff00
2780,66.2,12200,320000,0x00ff00
5490,71.1,2840,217000,0x00ff00
1650,67.2,528000,39400000,0x00ff00
13400,61.9,1220000,63200000,0xffff00
3410,63.4,753000,20700000,0xffff00
2270,61.7,391000,16300000,0xffff00
